project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
underscore,1.2.2,14 Nov 2011,1814,1023,12.2%,0.0%,836,93.0,4.6,251,0,0,0,819,17,2,510,2026,C,23d,20.8%
underscore,1.2.3,07 Dec 2011,1833,1043,12.0%,0.0%,841,94.8,4.6,250,0,0,0,824,17,2,517,2051,C,23d,20.6%
source-map,0.4.0,25 Feb 2015,4463,751,15.0%,6.2%,280,24.2,4.8,788,20,6,1,265,7,7,320,2347,A,12d,4.5%
brackets,v34.10534,08 Nov 2013,225721,74979,19.3%,54.7%,41637,127.5,8.6,53823,4665,1,3,35973,4897,136,23185,127285,A,862d,6.1%
underscore,1.4.0,27 Sep 2012,2235,1171,10.9%,0.0%,912,117.1,4.6,273,0,0,0,897,15,2,592,2330,B,23d,17.0%
underscore,1.3.2,09 Apr 2012,2019,1136,11.9%,0.0%,876,103.3,4.7,273,0,0,0,859,17,2,557,2273,B,24d,19.2%
brackets,release-0.43,02 Sep 2014,251014,79325,19.2%,49.4%,44962,117.3,8.3,59662,4713,0,3,39069,5078,168,25700,139102,A,884d,5.6%
underscore,1.4.1,01 Oct 2012,2240,1173,10.9%,0.0%,910,117.3,4.6,273,0,0,0,895,15,2,592,2334,B,23d,16.9%
underscore,1.3.0,11 Jan 2012,1870,1059,12.0%,0.0%,853,96.3,4.7,254,0,0,0,836,17,2,525,2093,C,23d,20.5%
source-map,0.3.0,10 Feb 2015,4297,737,15.1%,5.7%,286,24.6,5.0,765,18,6,1,273,5,6,308,2274,A,12d,4.7%
ember.js,v1.2.0,22 Nov 2013,47268,11479,22.3%,5.7%,2308,25.7,2.3,13583,263,0,0,1996,281,88,7458,30013,A,68d,2.3%
source-map,0.2.0,26 Jan 2015,4254,725,15.1%,5.8%,278,24.2,5.0,757,18,6,1,265,5,6,302,2246,A,12d,4.6%
brackets,sprint-29,09 Aug 2013,212092,72176,19.1%,58.2%,39093,132.9,8.7,50192,4626,0,3,33728,4604,129,21806,120620,A,843d,6.4%
ember.js,v1.2.0-beta.3,01 Nov 2013,47059,11436,22.3%,5.7%,2300,25.6,2.3,13520,263,0,0,1990,279,88,7422,29895,A,68d,2.3%
bootstrap,v1.0.0,18 Aug 2011,0,0,0,0,0,0,A,0,0.0%
bootstrap,v3.3.1,12 Nov 2014,6651,2326,5.0%,58.9%,4865,75.0,5.3,349,72,0,0,4764,49,5,956,4492,C,112d,26.9%
bower,v1.0.0-rc.1,18 Jul 2013,9095,2135,8.4%,11.6%,154,32.8,3.7,829,112,0,7,95,21,14,1438,5392,A,2d 4h,0.4%
coffeescript,0.7.0,28 Jun 2010,5091,3209,0.7%,1.1%,1214,59.4,9.1,37,2,0,0,1164,50,3,976,6331,B,35d,11.2%
underscore,1.2.4,04 Jan 2012,1874,1065,12.0%,0.0%,855,96.8,4.7,255,0,0,0,838,17,2,527,2097,C,24d,20.5%
npm,v1.0.1rc1,29 Mar 2011,6995,3302,9.5%,0.0%,5451,36.3,6.7,731,0,0,56,5366,25,8,889,4625,C,122d,28.1%
ember.js,sc-v2.0.beta.1,17 Jun 2011,28582,9743,25.9%,6.2%,9080,31.7,4.1,10006,173,0,1,8469,586,67,3879,21402,A,162d,9.1%
ember.js,v1.4.0-beta.4,30 Jan 2014,50258,12105,23.2%,5.9%,2461,26.4,2.3,15166,288,0,0,2120,297,90,7808,31717,A,74d,2.4%
ember.js,v1.5.0-beta.2,23 Feb 2014,51532,12376,23.1%,5.8%,2488,26.6,2.3,15456,286,0,0,2144,301,90,7989,32458,A,74d,2.3%
request,v2.53.0,02 Feb 2015,6961,1499,4.2%,5.6%,3386,25.4,2.7,305,22,0,0,3305,19,5,837,3565,B,75d,17.3%
underscore,1.3.3,10 Apr 2012,2024,1139,11.9%,0.0%,876,103.5,4.7,273,0,0,0,859,17,2,558,2277,B,24d,19.1%
npm,v1.3.7,02 Aug 2013,7639,3346,9.2%,0.0%,5482,39.4,6.5,772,0,0,19,5433,28,20,995,4893,C,121d,25.4%
less.js,v1.4.1,05 Jul 2013,70163,51049,11.9%,94.4%,31331,510.5,10.1,9510,5110,0,0,29820,1479,7,14070,57361,B,839d,19.1%
npm,v1.0.94,05 Oct 2011,8360,3983,9.9%,0.0%,6335,43.3,6.9,918,0,0,57,6244,27,10,1084,5411,C,137d,26.4%
ember.js,v1.3.2,07 Feb 2014,48875,11842,23.3%,6.0%,2412,26.2,2.3,14820,283,0,0,2086,286,89,7704,30958,A,71d,2.4%
npm,v1.2.29,12 Jun 2013,7398,3285,9.3%,0.0%,5347,40.1,6.7,758,0,0,20,5299,26,20,966,4755,C,117d,25.5%
npm,v1.0.0rc9,28 Mar 2011,6988,3297,9.5%,0.0%,5452,36.2,6.7,731,0,0,56,5367,25,8,888,4623,C,122d,28.1%
less.js,v1.5.0-b1,03 Sep 2013,80837,58928,11.6%,94.7%,36015,526.1,10.2,10594,6094,0,1,34271,1700,7,16220,66652,B,958d,19.0%
ember.js,v1.1.0-beta.2,27 Sep 2013,44137,10722,23.1%,5.5%,2160,24.6,2.3,13240,243,0,0,1860,268,87,6962,28073,A,62d,2.3%
npm,v0.1.20,19 Jul 2010,2880,1252,8.4%,0.0%,2168,24.1,6.6,265,0,0,47,2101,11,6,359,1841,C,52d,28.9%
brackets,sprint-19,19 Jan 2013,189670,67281,18.8%,67.2%,33178,159.4,9.3,43818,4769,1,3,28345,4200,82,18675,108108,A,798d,6.7%
npm,v0.2.15,17 Jan 2011,7068,3108,7.7%,0.0%,5208,33.8,6.2,590,0,0,76,5083,31,10,932,4438,C,113d,25.7%
bootstrap,v1.1.1,26 Aug 2011,0,0,0,0,0,0,A,0,0.0%
ember.js,v1.1.0-beta.4,11 Oct 2013,44796,10869,23.0%,5.5%,2224,25.0,2.3,13370,245,0,0,1923,270,87,7068,28467,A,65d,2.3%
brackets,splitview-pre-tree,13 Oct 2014,259874,81262,19.2%,47.9%,45722,116.6,8.1,61812,4796,0,3,39768,5118,171,27082,144376,A,873d,5.4%
q,v0.9.3,14 Apr 2013,6123,2247,14.7%,10.8%,631,124.8,3.5,1055,40,0,1,591,27,5,1396,4147,A,17d,4.6%
underscore,1.4.2,06 Oct 2012,2274,1216,10.7%,0.0%,940,121.6,4.7,273,0,0,0,925,15,2,598,2384,B,24d,17.2%
brackets,release-0.44-beta1,30 Sep 2014,259701,81212,19.2%,48.0%,45696,116.5,8.1,61746,4793,0,3,39744,5117,171,27057,144291,A,873d,5.4%
ember.js,v0.9.3,19 Dec 2011,26398,8068,20.3%,4.9%,3946,32.5,4.3,6707,112,0,0,3514,407,61,3376,16775,A,85d,5.2%
bootstrap,v3.3.2,19 Jan 2015,6834,2337,5.0%,58.3%,4881,73.0,5.2,358,76,0,0,4777,49,5,980,4532,C,112d,26.3%
npm,v1.2.12,19 Feb 2013,7370,3329,9.6%,0.0%,5372,38.7,6.8,786,0,0,22,5325,22,20,953,4755,C,118d,25.7%
mocha,0.14.1,06 Mar 2012,4848,1386,20.4%,71.6%,931,19.5,4.0,1243,67,0,0,882,45,11,886,3061,A,25d,8.5%
npm,v1.1.67,29 Nov 2012,6930,3104,9.3%,0.0%,4992,38.3,6.7,712,0,0,23,4947,19,18,903,4417,C,110d,25.4%
less.js,v1.4.0,05 Jun 2013,65616,47450,12.1%,94.1%,28886,484.2,10.0,8994,4859,0,0,27494,1364,7,13073,53244,B,776d,18.9%
ember.js,v1.5.0,30 Mar 2014,51807,12446,23.1%,5.7%,2502,26.6,2.3,15595,286,0,0,2161,298,91,8036,32656,A,75d,2.3%
ember.js,v1.6.0-beta.4,15 May 2014,54931,12649,22.5%,5.5%,2602,27.2,2.3,15979,281,0,0,2169,349,91,8163,33217,A,78d,2.3%
ember.js,v0.9.7,18 Apr 2012,43610,13608,24.0%,39.0%,4203,46.6,5.0,13804,331,0,1,3460,705,63,5328,27333,A,145d,5.3%
less.js,v1.5.0-b3,17 Sep 2013,81250,58998,11.6%,94.5%,36134,487.6,10.0,10649,6029,0,1,34374,1715,8,16240,66542,B,959d,18.9%
source-map,0.4.1,02 Mar 2015,4485,757,15.0%,6.2%,283,24.4,4.8,791,20,6,1,268,7,7,322,2362,A,12d,4.5%
