project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
coffeescript,1.0.0,24 Dec 2010,5524,3841,0.7%,0.0%,1971,71.1,14.7,38,0,0,0,1923,48,3,955,5564,B,44d,12.8%
mongoose,1.1.4,09 Mar 2011,8917,2334,14.4%,6.0%,1204,36.5,2.8,1504,50,3,17,1125,35,14,1437,5482,A,36d,6.5%
mongoose,3.5.10,02 Apr 2013,25191,5464,12.8%,7.3%,3493,60.0,4.5,3685,197,4,6,3363,115,7,3394,17297,A,104d,6.6%
node-mysql,v2.3.0,16 May 2014,7196,1652,4.2%,2.9%,666,10.8,2.6,312,11,31,0,582,51,16,771,5413,A,22d,5.1%
coffeescript,1.7.0,28 Jan 2014,7614,5171,1.6%,0.0%,3687,80.8,17.1,123,0,0,0,3638,49,6,1222,6857,B,81d,17.2%
mongoose,1.8.2,17 Aug 2011,11768,2891,12.4%,5.3%,1297,43.1,2.8,1662,56,2,13,1214,45,14,1793,7375,A,39d,5.3%
ember.js,v1.7.0,19 Aug 2014,60922,13944,20.8%,5.7%,2861,28.1,2.4,15998,318,5,0,2357,405,98,8730,36417,A,85d,2.2%
mocha,1.10.0,21 May 2013,6763,2034,20.2%,74.4%,1315,25.1,4.5,1716,93,0,0,1256,55,14,1161,4489,A,40d,9.5%
npm,v1.5.0-alpha-4,18 Jul 2014,11223,4273,6.7%,4.6%,7726,26.9,5.8,800,47,1,19,7664,39,31,1491,7168,C,168d,24.1%
bower,v1.3.1,11 Mar 2014,12341,2979,8.8%,21.1%,238,38.2,3.8,1192,222,1,12,152,41,13,1911,7149,A,4d 5h,0.6%
npm,v1.0.19,22 Jul 2011,8132,3888,10.4%,0.2%,6285,42.3,6.9,939,2,0,57,6194,27,9,1065,5331,C,138d,27.2%
npm,v1.1.41,13 Jul 2012,7304,3220,8.8%,0.6%,5071,39.8,6.6,709,2,0,25,5025,18,17,927,4469,C,111d,24.4%
npm,v2.0.0-alpha-5,22 Jul 2014,11304,4289,6.6%,5.2%,7778,26.5,5.8,802,49,1,18,7717,39,32,1501,7223,C,169d,24.1%
npm,v0.1.14,08 Jun 2010,2544,1086,9.2%,0.0%,1911,24.1,6.6,257,0,0,37,1854,10,5,320,1628,C,46d,29.2%
bootstrap,v3.0.0-rc1,27 Jul 2013,4281,4812,10.3%,57.9%,6433,137.5,8.6,491,36,0,0,6320,74,6,1346,5014,D,152d,56.9%
mongoose,1.1.23,01 Apr 2011,9449,2445,13.8%,5.4%,1235,38.2,2.8,1508,48,3,17,1159,33,14,1506,5821,A,36d,6.3%
npm,v1.1.30,19 Jun 2012,7091,3114,8.7%,0.6%,4904,38.4,6.5,678,2,0,24,4860,16,17,895,4330,C,107d,24.3%
bower,v0.6.7,10 Dec 2012,2515,1022,12.7%,2.1%,525,24.9,4.9,367,5,0,0,513,9,13,454,1985,B,22d,14.5%
coffeescript,0.9.5,21 Nov 2010,5493,3783,0.7%,0.0%,1945,74.2,14.3,36,0,0,0,1895,50,3,966,5519,B,43d,12.6%
request,v2.30.0,13 Dec 2013,3347,941,5.1%,6.7%,1801,22.4,4.1,181,18,0,0,1772,28,4,328,2106,C,42d,20.1%
mongoose,1.8.3,19 Aug 2011,11776,2890,12.4%,5.3%,1299,43.1,2.8,1662,56,2,13,1215,46,14,1793,7384,A,39d,5.3%
node-mysql,v0.1.0,22 Aug 2010,2431,435,2.2%,0.0%,244,29.0,3.4,55,0,2,0,230,10,4,203,1876,A,13d,9.1%
mongoose,3.8.0,31 Oct 2013,33761,7677,13.1%,10.0%,4875,64.5,4.9,5082,344,7,12,4709,139,8,4594,22783,A,138d,6.6%
q,v0.8.3,28 Apr 2012,2402,891,18.4%,21.4%,529,35.6,3.2,543,28,0,13,494,12,4,589,1665,A,12d,8.3%
ember.js,v1.0.0-rc.1,15 Feb 2013,57883,17006,26.3%,44.4%,4076,42.1,4.4,20643,541,0,0,3559,484,87,8053,36053,A,131d,3.6%
npm,v1.0.104,05 Nov 2011,8554,4060,9.9%,0.0%,6468,44.6,6.9,935,0,0,52,6382,27,10,1113,5529,C,141d,26.4%
brackets,hackathon,06 Mar 2012,12266,3580,20.1%,37.1%,2934,39.3,4.7,3080,31,0,0,2657,121,23,2199,8118,A,44d,5.8%
mocha,0.0.4,24 Nov 2011,2805,776,20.6%,72.5%,574,16.2,3.3,728,49,0,0,543,26,10,520,1741,A,13d,7.8%
q,v0.8.6,31 Jul 2012,4815,1829,18.1%,10.8%,578,121.9,3.6,1063,30,0,1,532,34,5,1023,3366,A,16d,5.6%
npm,v1.0.9-1,03 Jun 2011,7922,3778,9.8%,0.3%,6129,40.6,6.9,860,2,0,57,6039,26,8,1028,5205,C,134d,27.1%
mongoose,3.8.12,30 May 2014,34761,7919,12.8%,10.0%,4962,66.5,4.9,5104,359,7,12,4793,142,8,4760,23439,A,140d,6.5%
npm,v0.2.2,21 Sep 2010,4262,1873,8.5%,0.0%,3219,29.7,5.9,396,0,0,50,3138,14,6,607,2740,C,69d,25.9%
ember.js,v1.0.0-pre.2,25 Oct 2012,51634,15484,24.8%,15.6%,4139,44.8,4.5,16987,354,1,1,3483,619,70,6594,31939,A,138d,4.3%
npm,v1.4.3,16 Feb 2014,9493,3836,7.9%,1.7%,6633,32.0,6.0,819,13,1,20,6578,31,23,1270,6032,C,146d,24.6%
npm,v1.2.17,03 Apr 2013,7466,3343,9.5%,0.0%,5400,38.9,6.7,781,0,0,22,5352,23,20,965,4782,C,118d,25.5%
q,v0.8.5,15 May 2012,5352,1917,16.8%,9.9%,819,63.9,3.2,1081,30,0,14,750,37,6,1106,3714,A,22d,6.7%
source-map,0.1.31,01 Nov 2013,2790,540,15.6%,1.0%,210,20.8,4.9,515,2,2,1,202,5,6,222,1494,A,9d 7h,5.7%
ember.js,v1.1.0,21 Oct 2013,44796,10869,22.9%,5.5%,2226,25.0,2.3,13339,245,0,0,1925,270,87,7068,28467,A,65d,2.3%
brackets,sprint-4,04 Mar 2012,12217,3565,20.1%,37.2%,2918,39.2,4.7,3073,31,0,0,2641,121,23,2188,8086,A,43d,5.7%
ember.js,v1.1.2,25 Oct 2013,44885,10884,22.9%,5.5%,2223,25.0,2.3,13341,245,0,0,1922,270,87,7080,28520,A,65d,2.3%
mongoose,3.8.7,09 Feb 2014,34468,7835,12.9%,10.1%,4932,65.8,4.9,5108,355,7,12,4763,142,8,4711,23251,A,139d,6.5%
npm,v1.3.13,28 Oct 2013,7963,3464,9.0%,0.0%,5698,37.2,6.5,784,0,0,19,5649,28,21,1041,5101,C,126d,25.4%
mocha,1.7.0,07 Nov 2012,6444,1932,20.6%,75.9%,1372,23.9,4.4,1675,79,0,0,1319,49,13,1117,4260,A,40d,9.9%
bower,v1.1.1,08 Aug 2013,9581,2286,9.1%,11.3%,163,33.1,3.8,961,110,0,7,99,25,13,1483,5650,A,2d 5h,0.4%
mongoose,2.5.13,22 Mar 2012,17292,3857,10.8%,7.3%,1856,53.6,3.1,2084,104,5,8,1732,87,9,2419,10893,A,64d,6.0%
request,v2.47.0,26 Oct 2014,5535,1263,4.2%,5.7%,2925,25.8,2.8,240,18,0,0,2850,22,4,673,3090,B,65d,19.0%
less.js,v2.0.0-b1,19 Oct 2014,17046,8818,10.2%,76.0%,4407,65.8,7.5,1928,152,3,0,4079,296,18,2441,12553,B,129d,12.2%
request,v2.31.0,07 Jan 2014,3328,939,5.2%,6.7%,1793,22.9,4.1,181,18,0,0,1764,28,4,327,2097,C,41d,20.1%
request,v2.49.0,28 Nov 2014,5765,1307,4.0%,5.5%,2996,26.7,2.8,242,18,0,0,2920,23,4,691,3166,B,67d,18.7%
ember.js,v0.9.8.1,22 May 2012,45526,14051,25.4%,37.6%,4169,45.2,4.9,15490,376,1,1,3445,689,69,5621,28569,A,142d,5.0%
brackets,sprint-15,18 Oct 2012,180470,65203,18.7%,71.6%,31185,158.6,9.6,41645,4665,0,3,26467,4093,83,17515,103253,A,782d,6.9%
mongoose,3.8.25,13 Mar 2015,36101,8189,12.5%,9.7%,4914,68.2,4.9,5165,357,12,12,4737,145,9,4938,24250,A,140d,6.2%
mocha,1.21.0,23 Jul 2014,8229,2608,19.4%,63.2%,1602,27.2,4.8,1985,132,0,0,1539,59,19,1458,5524,A,48d,9.4%
mongoose,1.1.25,08 Apr 2011,9543,2464,13.7%,5.3%,1241,38.5,2.8,1509,48,3,17,1165,33,14,1524,5878,A,37d,6.2%
mongoose,1.1.6,22 Mar 2011,9094,2376,14.2%,5.5%,1219,37.1,2.8,1504,48,3,17,1140,35,14,1467,5594,A,36d,6.5%
mongoose,1.3.0,19 Apr 2011,9659,2484,13.6%,5.3%,1249,38.8,2.8,1516,48,3,17,1173,33,14,1538,5943,A,37d,6.2%
mocha,0.10.0,13 Jan 2012,4079,3939,20.7%,73.8%,3101,59.7,7.8,1066,69,0,0,3013,82,10,1271,4674,C,79d,31.0%
mongoose,2.1.3,16 Sep 2011,13071,3103,11.8%,5.9%,1282,45.0,3.0,1757,70,4,9,1187,59,12,1915,8131,A,42d,5.2%
npm,v1.0.1rc8,13 Apr 2011,7449,3530,9.4%,0.3%,5813,38.4,6.8,769,2,0,58,5726,25,8,955,4934,C,130d,28.0%
bower,v1.1.2,10 Aug 2013,9636,2302,9.1%,11.2%,165,33.4,3.8,970,110,0,7,101,25,13,1488,5676,A,2d 5h,0.5%
q,v0.8.7,22 Aug 2012,4905,1874,18.0%,10.6%,605,124.9,3.6,1075,30,0,1,559,34,5,1059,3436,A,17d,5.8%
mongoose,3.6.13,27 Jun 2013,29520,6520,12.7%,8.2%,4383,63.3,4.7,4302,244,6,7,4230,134,7,3935,19998,A,126d,6.9%
brackets,sprint-9,03 Jun 2012,31724,10226,23.2%,27.5%,9302,63.9,6.0,9565,58,0,0,8569,442,48,4731,20327,A,135d,6.9%
npm,v1.4.26,29 Aug 2014,10970,4127,6.8%,4.9%,7503,25.8,5.6,805,49,1,20,7441,38,31,1446,6975,C,164d,24.0%
mongoose,2.9.9,13 Feb 2013,18945,4173,9.8%,5.7%,2438,58.0,4.3,2052,101,4,1,2331,87,6,2639,12593,A,75d,6.4%
npm,v0.2.14-4,10 Jan 2011,7079,3110,7.7%,0.0%,5195,34.2,6.3,588,0,0,76,5070,30,9,931,4434,C,113d,25.6%
mocha,0.10.2,21 Jan 2012,4430,4057,19.5%,70.1%,3127,59.7,7.4,1072,69,0,0,3039,82,10,1373,4927,C,79d,28.8%
less.js,v1.3.1,18 Oct 2012,36852,29268,13.1%,96.9%,18064,424.2,10.3,5571,2751,0,0,17285,769,6,8024,31079,C,480d,20.8%
q,v0.8.8,23 Aug 2012,4915,1877,17.9%,10.6%,605,125.1,3.6,1075,30,0,1,559,34,5,1060,3439,A,17d,5.8%
less.js,v1.7.0,27 Feb 2014,146187,97348,11.1%,96.6%,56523,636.3,10.5,18263,9904,12,1,53280,3099,10,25727,114240,B,1516d,16.6%
npm,v1.0.0rc5,23 Mar 2011,7306,3391,9.2%,0.0%,5619,36.5,6.7,740,0,0,56,5532,27,8,905,4796,C,127d,27.8%
mongoose,2.5.14,13 Apr 2012,17349,3872,10.8%,7.3%,1858,53.8,3.1,2090,104,5,8,1734,87,9,2427,10927,A,64d,5.9%
bootstrap,v2.3.1,28 Feb 2013,2670,765,8.9%,4.4%,1845,26.4,4.3,262,11,0,0,1798,34,3,395,1613,C,46d,27.8%
mocha,0.1.0,29 Nov 2011,3028,822,20.4%,63.7%,627,15.8,3.2,776,53,0,0,595,28,10,583,1898,A,14d,7.9%
npm,v1.0.21,24 Jul 2011,8132,3887,10.4%,0.2%,6286,42.3,6.9,939,2,0,57,6195,27,9,1065,5333,C,138d,27.2%
mongoose,1.1.5,14 Mar 2011,8948,2344,14.4%,6.0%,1211,36.6,2.8,1504,50,3,17,1132,35,14,1441,5504,A,36d,6.5%
brackets,sprint-12,09 Aug 2012,25938,7988,25.7%,2.4%,7093,56.3,6.4,8964,48,0,0,6381,462,40,3392,15907,A,88d,5.5%
bootstrap,v3.0.0-rc.2,13 Aug 2013,5648,8093,20.8%,40.6%,9506,202.3,9.8,1479,38,1,1,9337,122,6,2266,8075,D,237d,67.4%
npm,v1.4.5,18 Mar 2014,9708,3864,7.8%,1.9%,6755,30.9,5.9,821,15,1,20,6700,31,25,1290,6157,C,148d,24.5%
npm,v1.1.28,18 Jun 2012,7059,3102,8.7%,0.6%,4887,39.3,6.5,676,2,0,24,4843,16,15,889,4313,C,107d,24.4%
mongoose,2.3.3,12 Oct 2011,13761,3204,11.4%,6.7%,1340,46.4,3.1,1778,81,4,9,1248,56,12,1992,8520,A,45d,5.3%
coffeescript,1.7.1,29 Jan 2014,7614,5171,1.6%,0.0%,3680,80.8,17.1,123,0,0,0,3631,49,6,1222,6857,B,81d,17.1%
bower,v0.6.8,14 Dec 2012,2532,1031,12.8%,2.1%,529,25.1,5.0,371,5,0,0,516,10,13,454,1996,B,22d,14.5%
mongoose,3.8.6,30 Jan 2014,34422,7815,12.9%,10.2%,4915,65.7,4.9,5104,357,7,12,4746,142,8,4705,23210,A,139d,6.5%
coffeescript,1.0.1,31 Jan 2011,5566,3870,0.7%,0.0%,1987,71.7,14.8,38,0,0,0,1941,46,3,958,5570,B,45d,13.0%
brackets,sprint-13,30 Aug 2012,177993,64748,18.7%,73.7%,30544,163.1,9.6,40833,4495,0,3,25865,4063,78,17288,102236,A,776d,7.0%
q,v0.8.9,08 Oct 2012,5259,1962,17.2%,10.0%,604,130.8,3.6,1090,30,0,1,560,32,5,1133,3645,A,17d,5.4%
mongoose,2.5.2,30 Jan 2012,16260,3645,10.7%,7.6%,1736,52.1,3.1,1943,97,2,9,1624,78,9,2306,10176,A,60d,6.0%
ember.js,v1.8.1,04 Nov 2014,61157,13575,20.5%,6.0%,2681,26.4,2.2,15808,338,5,0,2214,395,98,8795,37145,A,82d,2.2%
npm,v1.1.0-beta-6,16 Dec 2011,8847,4174,9.9%,0.0%,6571,45.4,6.9,976,0,0,56,6479,29,10,1148,5642,C,143d,25.9%
mongoose,2.1.4,20 Sep 2011,13063,3100,11.9%,5.9%,1279,44.9,3.0,1757,70,4,9,1184,59,12,1913,8124,A,42d,5.2%
npm,v1.3.24,19 Jan 2014,9021,3736,8.3%,0.0%,6303,33.7,6.1,813,0,0,21,6249,30,24,1193,5713,C,139d,24.7%
bootstrap,v3.0.1,30 Oct 2013,3922,1723,10.6%,64.6%,3535,61.5,5.4,463,38,0,0,3467,30,4,709,3024,C,83d,34.1%
mocha,1.2.0,17 Jun 2012,5794,1633,20.4%,73.7%,1133,20.7,4.1,1489,75,0,0,1081,48,13,1030,3710,A,32d,8.8%
npm,v1.1.65,25 Oct 2012,6927,3101,9.3%,0.0%,4987,38.3,6.7,710,0,0,23,4942,19,18,903,4413,C,109d,25.4%
source-map,0.1.32,11 Feb 2014,2784,538,15.6%,1.0%,209,20.7,5.0,515,2,2,1,201,5,6,220,1490,A,9d 7h,5.7%
brackets,sprint-22,25 Mar 2013,197848,69024,19.0%,63.5%,35522,149.7,9.1,46458,4729,0,3,30479,4351,92,19749,112887,A,812d,6.6%
npm,v1.1.40,12 Jul 2012,7304,3220,8.8%,0.6%,5071,39.8,6.6,709,2,0,25,5025,18,17,927,4469,C,111d,24.4%
npm,v2.2.0,08 Jan 2015,17144,5418,5.3%,9.0%,11122,23.0,5.1,962,101,0,18,11056,43,36,2164,10532,C,241d,22.6%
mongoose,1.0.11,14 Feb 2011,8156,2141,14.9%,5.3%,1136,34.0,2.8,1424,40,4,17,1062,33,14,1317,5002,A,34d,6.7%
brackets,sprint-8,11 May 2012,21462,5854,25.8%,34.4%,6835,39.6,4.9,7445,45,0,0,6322,251,45,3474,14045,A,73d,5.4%
npm,v1.3.25,23 Jan 2014,9021,3736,8.3%,0.0%,6303,33.7,6.1,813,0,0,21,6249,30,24,1193,5713,C,139d,24.7%
ember.js,v1.1.0-beta.3,04 Oct 2013,44371,10776,23.0%,5.6%,2176,24.8,2.3,13288,247,0,0,1876,268,87,7000,28225,A,62d,2.2%
mongoose,3.6.14,05 Jul 2013,29607,6537,12.7%,8.3%,4396,63.5,4.7,4314,246,6,7,4243,134,7,3946,20051,A,127d,6.9%
source-map,0.1.33,26 Feb 2014,3152,584,15.4%,0.9%,223,21.6,5.1,573,2,2,1,215,5,6,233,1696,A,10d,5.3%
mongoose,2.0.0,23 Aug 2011,12746,3027,11.6%,6.7%,1208,45.2,3.0,1666,77,3,9,1119,53,11,1886,7955,A,39d,5.0%
bootstrap,v3.0.0,19 Aug 2013,5635,8190,13.1%,45.4%,9633,199.8,9.8,850,38,0,1,9464,124,6,2293,8176,D,241d,68.6%
bower,v1.3.10,13 Sep 2014,13147,3125,8.7%,19.2%,268,36.3,3.8,1248,220,5,23,166,40,15,2017,7506,A,5d 3h,0.7%
npm,v1.0.91,03 Oct 2011,8358,3980,9.9%,0.0%,6332,43.3,6.9,918,0,0,57,6241,27,10,1084,5409,C,137d,26.4%
mongoose,3.6.2,29 Mar 2013,27924,6162,13.2%,7.8%,4077,62.2,4.6,4229,230,6,7,3927,131,7,3784,19111,A,119d,6.8%
ember.js,v1.0.0-rc.3,21 Apr 2013,46746,12703,21.7%,5.9%,2506,30.0,3.2,12990,247,0,0,2115,375,92,6794,28772,A,87d,3.0%
npm,v2.1.9,13 Nov 2014,16239,5286,5.6%,7.9%,10593,23.4,5.2,955,90,0,18,10530,40,36,2053,10022,C,230d,22.7%
mocha,0.0.6,25 Nov 2011,2812,777,20.6%,73.2%,570,16.2,3.3,728,47,0,0,540,26,10,521,1747,A,13d,7.8%
npm,v0.2.3,28 Sep 2010,4396,1900,8.2%,0.0%,3276,29.7,5.9,394,0,0,52,3193,14,6,618,2799,C,70d,25.6%
mocha,1.7.1,23 Nov 2012,6478,1936,20.6%,76.1%,1366,23.9,4.4,1677,81,0,0,1313,49,13,1117,4278,A,39d,9.9%
npm,v1.2.27,06 Jun 2013,7394,3283,9.3%,0.0%,5345,40.0,6.8,758,0,0,20,5297,26,20,964,4753,C,117d,25.5%
npm,v0.1.16,10 Jun 2010,2564,1093,9.2%,0.0%,1926,24.3,6.6,259,0,0,37,1869,10,5,322,1643,C,46d,29.1%
mongoose,3.0.2,17 Aug 2012,21930,4798,12.7%,7.0%,2894,51.0,4.3,3183,157,4,5,2774,101,10,3002,14672,A,88d,6.4%
npm,v1.1.0-beta-8,04 Jan 2012,8869,4176,9.9%,0.0%,6571,45.4,6.9,971,0,0,56,6479,29,10,1147,5648,C,143d,25.9%
mongoose,2.8.0,23 Aug 2012,18769,4131,9.8%,6.1%,2393,51.0,4.3,2036,105,4,1,2285,88,9,2635,12420,A,74d,6.4%
request,v2.50.0,09 Dec 2014,5888,1325,4.0%,5.4%,3061,25.5,2.8,244,18,0,0,2983,23,5,706,3230,B,68d,18.7%
ember.js,v1.5.0-beta.4,10 Mar 2014,51652,12413,23.1%,5.8%,2497,26.6,2.3,15535,286,0,0,2157,298,90,8010,32555,A,75d,2.3%
bower,v1.0.0-alpha.7,16 Jul 2013,9087,2132,8.3%,11.6%,153,32.8,3.7,823,112,0,7,94,21,14,1438,5386,A,2d 3h,0.4%
brackets,sprint-20,12 Feb 2013,190574,67495,18.8%,66.5%,33418,158.8,9.3,44059,4734,0,3,28534,4250,83,18800,108682,A,800d,6.7%
source-map,0.1.35,08 Jul 2014,3286,596,15.4%,0.9%,228,22.1,5.1,597,2,4,1,218,5,6,241,1754,A,10d,5.2%
bower,v1.3.2,07 Apr 2014,12375,2983,8.8%,21.0%,241,38.2,3.8,1192,218,2,12,153,42,13,1915,7169,A,4d 6h,0.6%
q,v0.8.11,25 Nov 2012,5639,2115,15.9%,11.3%,703,124.4,3.5,1064,38,0,1,659,31,5,1280,3813,A,18d,5.3%
mocha,1.2.2,28 Jun 2012,5818,1664,20.4%,74.7%,1180,21.1,4.1,1495,77,0,0,1128,48,13,1033,3759,A,33d,9.2%
bower,1.0.0,08 Sep 2014,12942,3076,8.7%,19.5%,260,36.2,3.8,1241,220,4,21,162,40,15,1972,7405,A,5d 1h,0.6%
less.js,v1.3.3,30 Dec 2012,52097,38477,12.6%,93.1%,23360,452.7,10.0,7503,3831,0,0,22288,1054,7,10569,42450,B,625d,19.2%
brackets,sprint-6,08 Apr 2012,18910,5305,21.3%,38.7%,4701,41.4,4.9,5116,39,0,0,4282,208,39,3214,12361,A,66d,5.6%
mongoose,3.5.6,14 Feb 2013,24934,5399,12.8%,7.3%,3434,60.0,4.5,3662,197,4,6,3305,114,7,3352,17117,A,102d,6.6%
mocha,0.12.0,02 Feb 2012,4438,4050,19.7%,70.7%,3111,60.4,7.5,1088,69,0,0,3023,82,11,1366,4922,C,79d,28.6%
npm,v1.2.28,07 Jun 2013,7398,3285,9.3%,0.0%,5347,40.1,6.7,758,0,0,20,5299,26,20,966,4755,C,117d,25.5%
npm,v1.1.19,30 Apr 2012,8810,4017,8.9%,0.0%,6328,44.1,6.9,863,0,0,54,6249,21,13,1090,5525,C,138d,25.2%
npm,v1.1.5,12 Mar 2012,9230,4309,10.0%,0.0%,6796,45.8,6.9,1023,0,0,55,6707,28,13,1174,5875,C,148d,25.8%
mocha,1.2.1,25 Jun 2012,5820,1664,20.5%,74.7%,1180,21.1,4.1,1497,77,0,0,1128,48,13,1033,3761,A,33d,9.2%
mongoose,3.8.13,14 Jul 2014,34969,7974,12.8%,10.0%,4976,66.5,4.9,5114,359,8,12,4806,142,9,4787,23573,A,141d,6.5%
source-map,0.1.36,09 Jul 2014,3301,598,15.3%,0.9%,229,22.1,5.0,597,2,4,1,219,5,6,243,1759,A,10d,5.2%
npm,v1.0.1rcFINAL,27 Apr 2011,7525,3584,9.4%,0.3%,5821,39.4,6.8,782,2,0,57,5735,25,8,972,4955,C,127d,27.1%
mongoose,1.0.13,16 Feb 2011,8329,2188,14.7%,5.2%,1148,34.2,2.8,1431,40,3,17,1071,33,14,1337,5108,A,34d,6.6%
coffeescript,1.1.0,01 May 2011,5781,3987,0.7%,0.0%,2049,73.8,15.0,40,0,0,0,1998,51,3,974,5780,B,46d,12.9%
brackets,sprint-10,23 Jun 2012,24411,7643,25.6%,2.7%,6655,55.8,6.5,8387,50,0,0,6051,367,39,3205,14870,A,86d,5.7%
mocha,1.11.0,12 Jun 2013,6804,2051,20.2%,71.5%,1331,25.3,4.5,1723,98,0,0,1271,56,14,1170,4522,A,40d,9.5%
ember.js,v1.7.0-beta.2,16 Jul 2014,61425,14094,21.2%,5.4%,2931,28.5,2.4,16529,306,3,0,2407,400,99,8769,36726,A,88d,2.3%
npm,v0.2.14-3,08 Jan 2011,7078,3109,7.7%,0.0%,5191,34.2,6.3,588,0,0,76,5066,30,9,931,4432,C,113d,25.6%
mongoose,3.9.4,25 Oct 2014,38569,8653,12.1%,13.3%,5004,64.6,4.9,5312,441,11,12,4820,152,13,5297,25759,A,143d,6.0%
npm,v1.2.19,29 Apr 2013,7246,3258,9.4%,0.0%,5278,39.3,6.8,751,0,0,20,5233,23,20,945,4672,C,116d,25.7%
npm,v1.1.66,23 Nov 2012,6930,3104,9.3%,0.0%,4992,38.3,6.7,712,0,0,23,4947,19,18,903,4417,C,110d,25.4%
bootstrap,v3.0.2,06 Nov 2013,3935,1725,10.6%,64.4%,3538,61.6,5.4,466,38,0,0,3470,30,4,710,3029,C,83d,34.0%
npm,v0.3.2,19 Feb 2011,7153,3179,7.1%,0.0%,5364,34.2,6.4,544,0,0,82,5245,23,11,947,4565,C,119d,26.8%
npm,v1.0.1rc9,15 Apr 2011,7468,3534,9.5%,0.3%,5827,38.4,6.8,780,2,0,58,5740,25,8,956,4950,C,130d,28.0%
request,v2.51.0,10 Dec 2014,5920,1332,4.0%,5.3%,3083,25.1,2.8,244,18,0,0,3004,23,5,712,3251,B,69d,18.7%
mocha,1.21.2,27 Jul 2014,8310,2642,19.4%,72.6%,1622,27.5,4.8,2002,100,0,0,1558,60,19,1466,5593,A,48d,9.4%
less.js,v1.4.0-b2,18 Mar 2013,61194,43995,12.2%,93.7%,26002,453.6,10.0,8500,4710,0,0,24681,1297,7,12092,50298,B,712d,18.6%
npm,v1.4.10,05 May 2014,10365,4071,7.8%,3.2%,7258,28.9,5.9,873,29,2,20,7194,39,29,1385,6638,C,160d,24.7%
node-mysql,v2.0.1,17 Jan 2014,6174,1433,4.2%,2.8%,586,10.8,2.7,271,9,20,0,515,50,13,645,4674,A,19d,5.2%
brackets,sprint-30,28 Aug 2013,217806,73501,19.1%,56.8%,40093,133.2,8.7,51517,4635,0,3,34587,4716,130,22436,123646,A,853d,6.3%
ember.js,v1.7.0-beta.1,08 Jul 2014,61098,14029,21.2%,5.3%,2920,28.6,2.4,16472,301,2,0,2397,400,99,8718,36531,A,87d,2.3%
brackets,sprint-28,29 Jul 2013,211080,72082,19.1%,58.5%,38983,133.7,8.8,49958,4625,0,3,33652,4572,126,21744,120362,A,842d,6.4%
ember.js,v1.8.0,27 Oct 2014,60974,13546,20.6%,5.9%,2680,26.3,2.2,15793,336,5,0,2213,395,98,8770,37057,A,82d,2.2%
underscore,1.0.3,14 Jun 2010,1127,738,12.0%,0.0%,475,73.8,4.4,154,0,0,0,465,10,2,376,1317,B,12d,17.8%
coffeescript,1.1.1,10 May 2011,5808,4005,0.7%,0.0%,2056,74.2,15.0,40,0,0,0,2005,51,3,976,5803,B,46d,12.9%
npm,v1.3.14,08 Nov 2013,7980,3467,8.9%,0.0%,5706,37.3,6.5,784,0,0,19,5657,28,21,1041,5109,C,126d,25.4%
mongoose,3.8.2,14 Dec 2013,34138,7733,13.0%,10.2%,4889,65.0,4.9,5092,355,7,12,4722,140,8,4643,23008,A,138d,6.5%
npm,v1.2.8,06 Feb 2013,7320,3311,9.1%,0.0%,5348,39.0,6.8,731,0,0,22,5301,22,20,947,4733,C,117d,25.8%
request,v2.35.0,17 May 2014,3715,1032,5.2%,7.9%,1921,22.4,4.2,203,20,1,0,1891,28,4,376,2349,B,45d,19.5%
bower,v1.2.2,20 Aug 2013,10294,2502,9.2%,12.7%,185,35.2,3.9,1044,149,1,8,114,31,13,1576,6049,A,3d 3h,0.5%
npm,v1.0.93,04 Oct 2011,8359,3980,9.9%,0.0%,6332,43.3,6.9,918,0,0,57,6241,27,10,1084,5409,C,137d,26.4%
mocha,1.21.1,26 Jul 2014,8310,2638,19.4%,72.2%,1620,27.5,4.8,2004,100,0,0,1556,60,19,1464,5590,A,48d,9.4%
ember.js,v1.6.1,15 Jul 2014,55556,12751,22.4%,5.6%,2630,27.3,2.3,16075,290,0,0,2184,362,91,8229,33621,A,78d,2.3%
mongoose,3.5.15,26 Jul 2013,25450,5516,12.7%,7.3%,3550,59.3,4.5,3690,199,4,6,3419,116,7,3423,17492,A,105d,6.7%
npm,v1.1.52,20 Aug 2012,6681,2994,9.1%,0.7%,4805,37.4,6.7,666,2,0,23,4763,16,18,855,4249,C,105d,25.3%
bower,v1.2.0,19 Aug 2013,10291,2500,9.2%,12.7%,182,35.2,3.9,1040,149,1,8,114,28,13,1575,6049,A,3d 3h,0.5%
request,v2.34.0,18 Feb 2014,3501,983,5.4%,6.4%,1901,22.3,4.3,198,18,0,0,1870,30,4,348,2225,B,43d,20.0%
ember.js,v1.6.0-beta.3,29 Apr 2014,54903,12647,22.5%,5.5%,2602,27.2,2.3,15979,281,0,0,2169,349,91,8161,33203,A,78d,2.3%
mocha,0.2.0,30 Nov 2011,3055,829,20.5%,68.3%,625,15.9,3.2,788,49,0,0,593,28,10,590,1916,A,14d,7.9%
