project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mocha,1.7.2,28 Nov 2012,6446,1930,20.6%,75.9%,1376,23.8,4.4,1677,79,0,0,1323,49,13,1117,4262,A,40d,10.0%
underscore,1.1.4,09 Jan 2011,1267,843,12.3%,0.0%,555,76.6,4.6,177,0,0,0,542,13,2,408,1506,B,14d,18.2%
coffeescript,1.9.0,29 Jan 2015,7723,5251,1.6%,0.0%,3576,79.6,16.8,124,0,0,0,3528,48,6,1262,6687,B,79d,16.4%
brackets,sprint-11,22 Jul 2012,25153,7828,25.7%,2.5%,6821,55.9,6.5,8694,48,0,0,6198,376,39,3306,15335,A,88d,5.6%
mocha,1.12.1,29 Aug 2013,7050,2132,20.1%,74.1%,1334,24.0,4.5,1769,91,0,0,1274,56,17,1210,4659,A,40d,9.1%
mocha,0.3.2,05 Dec 2011,3109,850,20.6%,68.1%,646,15.7,3.2,808,53,0,0,612,30,10,598,1954,A,15d,8.0%
mocha,1.17.1,22 Jan 2014,7828,2483,20.1%,73.7%,1555,26.1,4.8,1967,100,0,0,1493,58,18,1370,5238,A,47d,9.7%
mongoose,3.7.0,05 Aug 2013,31885,7276,13.3%,10.0%,4719,64.4,5.0,4882,326,6,10,4562,135,8,4286,21478,A,134d,6.8%
npm,v1.4.11,22 May 2014,10801,4123,6.9%,5.4%,7420,26.9,5.7,802,49,1,20,7355,41,31,1435,6835,C,163d,24.3%
source-map,0.1.40,02 Oct 2014,3523,614,15.0%,0.8%,236,22.7,5.0,621,2,4,1,225,5,6,253,1897,A,10d,4.9%
underscore,1.1.5,20 Mar 2011,1326,874,12.1%,0.0%,581,79.5,4.6,182,0,0,0,568,13,2,427,1589,B,14d,18.1%
request,v2.37.0,07 Jul 2014,3826,1064,5.3%,7.6%,1989,22.6,4.2,216,20,1,0,1957,30,4,390,2426,B,47d,19.7%
npm,v1.4.18,29 Jun 2014,10873,4114,6.8%,4.8%,7430,26.2,5.6,799,47,1,20,7367,39,31,1437,6900,C,163d,24.0%
ember.js,v0.9.6,30 Mar 2012,43171,13523,23.1%,41.2%,4209,46.5,5.0,12944,333,0,1,3471,699,63,5282,27114,A,145d,5.4%
bower,v1.3.4,02 Jun 2014,12361,2980,8.8%,20.0%,240,38.7,3.8,1192,216,2,10,154,41,13,1905,7147,A,4d 6h,0.6%
mocha,1.21.4,06 Aug 2014,8374,2658,19.3%,72.2%,1631,27.4,4.8,2009,102,0,0,1567,60,19,1474,5637,A,48d,9.4%
bower,v1.2.3,22 Aug 2013,10296,2505,9.2%,12.7%,185,35.3,3.9,1044,149,1,8,114,31,13,1576,6051,A,3d 3h,0.5%
source-map,0.1.41,17 Dec 2014,3740,632,14.7%,2.1%,245,23.4,5.0,643,6,4,1,234,5,6,263,1987,A,11d,4.8%
npm,v2.1.10,20 Nov 2014,16296,5296,5.6%,7.9%,10639,23.3,5.2,958,90,0,18,10576,40,36,2063,10068,C,231d,22.7%
bootstrap,v3.2.0,26 Jun 2014,5257,2096,6.3%,60.2%,4221,69.9,5.4,354,40,0,0,4117,52,5,839,3844,C,98d,29.9%
ember.js,v1.3.0-beta.1,25 Nov 2013,47605,11579,22.3%,6.0%,2305,25.8,2.3,13636,277,0,0,1991,282,88,7532,30230,A,68d,2.3%
less.js,v1.4.0-b3,30 Apr 2013,61111,43941,12.2%,93.6%,25922,457.7,10.0,8477,4690,0,0,24618,1280,7,12079,50185,B,709d,18.6%
npm,v0.2.3-4,04 Oct 2010,4511,1937,8.1%,0.0%,3346,29.3,5.9,400,0,0,52,3262,15,6,629,2869,C,71d,25.4%
bower,v1.3.3,24 Apr 2014,12332,2974,8.8%,20.1%,238,38.6,3.8,1192,214,2,10,152,41,13,1902,7133,A,4d 5h,0.6%
source-map,0.1.43,08 Jan 2015,3802,648,14.9%,2.1%,255,23.1,4.9,665,6,4,1,244,5,6,271,2025,A,11d,4.9%
underscore,1.1.2,15 Oct 2010,1161,749,12.1%,0.0%,481,74.9,4.3,160,0,0,0,470,11,2,385,1333,B,12d,17.2%
bower,v1.3.11,18 Sep 2014,13354,3150,8.5%,18.9%,278,36.2,3.8,1248,220,5,32,167,40,15,2040,7571,A,5d 4h,0.7%
brackets,sprint-24,29 Apr 2013,201865,69819,19.1%,61.9%,36803,144.9,9.0,47576,4700,0,3,31596,4498,102,20370,115032,A,821d,6.5%
underscore,1.1.3,01 Dec 2010,1210,787,12.6%,0.0%,501,71.5,4.4,174,0,0,0,489,12,2,400,1401,B,13d,17.2%
ember.js,v1.0.0-rc.7,14 Aug 2013,40865,9918,22.3%,5.4%,2105,23.7,2.3,11709,228,0,0,1825,253,87,6386,26021,A,64d,2.5%
bower,v0.1.1,16 Sep 2012,1149,423,9.2%,0.0%,170,15.7,3.8,117,0,0,0,169,1,9,212,856,A,4d 7h,6.8%
less.js,v1.4.2,20 Jul 2013,74677,54639,11.8%,94.7%,33776,535.7,10.1,10024,5341,0,1,32149,1590,7,15064,61459,B,902d,19.3%
brackets,sprint-5,21 Mar 2012,14280,4135,20.6%,40.3%,3603,41.4,4.8,3700,35,0,0,3290,140,23,2584,9374,A,48d,5.4%
npm,v1.3.15,20 Nov 2013,8036,3477,8.9%,0.0%,5738,36.6,6.5,783,0,0,19,5689,28,21,1049,5145,C,127d,25.4%
mocha,1.7.3,30 Nov 2012,6452,1934,20.6%,75.8%,1379,23.9,4.4,1675,79,0,0,1326,49,13,1120,4267,A,40d,10.0%
coffeescript,0.6.2,15 May 2010,5031,3166,14.5%,1.0%,1212,58.6,9.0,856,2,0,0,1162,50,3,945,6265,B,35d,11.4%
mongoose,3.8.14,26 Jul 2014,35120,7993,12.7%,10.0%,4982,66.6,4.9,5119,359,8,12,4811,143,9,4799,23650,A,141d,6.5%
ember.js,v1.0.pre,03 Aug 2012,49014,14821,24.9%,20.9%,4162,43.8,4.7,16288,329,1,1,3467,657,70,6107,30358,A,141d,4.6%
npm,v1.3.26,02 Feb 2014,9022,3736,8.3%,0.2%,6304,33.7,6.1,813,2,0,21,6250,30,24,1193,5714,C,139d,24.7%
npm,v0.3.4,21 Feb 2011,7172,3183,7.1%,0.0%,5369,34.2,6.4,546,0,0,82,5250,23,11,947,4572,C,119d,26.8%
underscore,1.1.6,18 Apr 2011,1335,555,11.7%,0.0%,329,55.5,4.0,177,0,0,0,322,7,2,318,1191,B,8d 6h,10.5%
npm,v1.0.1,30 Apr 2011,7612,3637,9.5%,0.3%,5895,40.0,6.8,802,2,0,57,5810,25,8,987,5019,C,129d,27.1%
npm,v1.1.58,22 Aug 2012,6944,3111,9.2%,0.6%,5002,38.4,6.7,704,2,0,23,4957,19,18,906,4430,C,109d,25.3%
